time_close,time_period_start,time_period_end,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-08-06 23:59:59.778249+00:00,2022-08-06T00:00:00.0000000Z,2022-08-07T00:00:00.0000000Z,2022-08-06T00:00:00.1786050Z,23320.71,23359.5,22917.49,22960.93,14672.47579298,481071
2022-08-07 23:59:59.984703+00:00,2022-08-07T00:00:00.0000000Z,2022-08-08T00:00:00.0000000Z,2022-08-07T00:00:00.2232090Z,22960.86,23411.55,22845.7,23177.39,13723.15949747,451301
2022-08-08 23:59:59.934800+00:00,2022-08-08T00:00:00.0000000Z,2022-08-09T00:00:00.0000000Z,2022-08-08T00:00:00.5003180Z,23180.26,24285.3,23155.5,23815.65,35523.18361175,719312
2022-08-09 23:59:59.390830+00:00,2022-08-09T00:00:00.0000000Z,2022-08-10T00:00:00.0000000Z,2022-08-09T00:00:00.5874040Z,23815.68,23929.35,22871.66,23158.27,32349.9762646,652629
2022-08-10 23:59:59.977213+00:00,2022-08-10T00:00:00.0000000Z,2022-08-11T00:00:00.0000000Z,2022-08-10T00:00:00.2865330Z,23158.32,24248.887,22661.5,23962.18,40158.23244765,812571
2022-08-11 23:59:59.989302+00:00,2022-08-11T00:00:00.0000000Z,2022-08-12T00:00:00.0000000Z,2022-08-11T00:00:00.5438980Z,23959.3,24929.99,23862.1,23944.86,44624.88254092,924220
2022-08-12 23:59:59.715523+00:00,2022-08-12T00:00:00.0000000Z,2022-08-13T00:00:00.0000000Z,2022-08-12T00:00:00.0176350Z,23944.85,24472.4,23594.5,24415.18,26871.18829582,766591
2022-08-13 23:59:59.287644+00:00,2022-08-13T00:00:00.0000000Z,2022-08-14T00:00:00.0000000Z,2022-08-13T00:00:00.0034290Z,24415.08,24947.8,24301.0,24456.49,19322.58294016,638008
2022-08-14 23:59:59.858578+00:00,2022-08-14T00:00:00.0000000Z,2022-08-15T00:00:00.0000000Z,2022-08-14T00:00:00.1460940Z,24456.17,25054.1,24151.63,24316.71,29015.12554811,731524
2022-08-15 23:59:59.733210+00:00,2022-08-15T00:00:00.0000000Z,2022-08-16T00:00:00.0000000Z,2022-08-15T00:00:00.2508340Z,24316.58,25226.0,23775.5,24097.82,39928.58447592,858710
2022-08-16 23:59:59.482802+00:00,2022-08-16T00:00:00.0000000Z,2022-08-17T00:00:00.0000000Z,2022-08-16T00:00:00.1742770Z,24099.7,24253.98,23663.0,23857.93,29297.80234289,699866
2022-08-17 23:59:59.334902+00:00,2022-08-17T00:00:00.0000000Z,2022-08-18T00:00:00.0000000Z,2022-08-17T00:00:00.1917370Z,23857.89,24448.49,23176.0,23341.17,35634.07380044,654526
2022-08-18 23:59:59.836970+00:00,2022-08-18T00:00:00.0000000Z,2022-08-19T00:00:00.0000000Z,2022-08-18T00:00:00.3235560Z,23344.42,23600.0,23103.0,23189.46,21084.74846373,579087
2022-08-19 23:59:59.584201+00:00,2022-08-19T00:00:00.0000000Z,2022-08-20T00:00:00.0000000Z,2022-08-19T00:00:00.4320260Z,23188.94,23206.76,20782.39,20834.94,71021.09492977,1116987
2022-08-20 23:59:59.917029+00:00,2022-08-20T00:00:00.0000000Z,2022-08-21T00:00:00.0000000Z,2022-08-20T00:00:00.0480550Z,20834.94,21372.93,20754.06,21139.23,29541.40738963,762366
2022-08-21 23:59:59.703276+00:00,2022-08-21T00:00:00.0000000Z,2022-08-22T00:00:00.0000000Z,2022-08-21T00:00:00.0368140Z,21139.22,21812.8,21062.9,21518.62,22899.5866805,682105
2022-08-22 23:59:59.339215+00:00,2022-08-22T00:00:00.0000000Z,2022-08-23T00:00:00.0000000Z,2022-08-22T00:00:00.1473430Z,21514.45,21540.0,20889.69,21398.25,35561.40483318,741487
2022-08-23 23:59:59.275789+00:00,2022-08-23T00:00:00.0000000Z,2022-08-24T00:00:00.0000000Z,2022-08-23T00:00:00.7200690Z,21396.37,21690.81,20886.0,21528.34,33271.09584896,745294
2022-08-24 23:59:59.291122+00:00,2022-08-24T00:00:00.0000000Z,2022-08-25T00:00:00.0000000Z,2022-08-24T00:00:00.3190000Z,21523.0,21925.0,21142.0,21367.12,33716.25106846,708729
2022-08-25 23:59:59.833530+00:00,2022-08-25T00:00:00.0000000Z,2022-08-26T00:00:00.0000000Z,2022-08-25T00:00:00.1667150Z,21367.12,21818.32,21307.32,21561.86,20865.3936089,722084
2022-08-26 23:59:59.907550+00:00,2022-08-26T00:00:00.0000000Z,2022-08-27T00:00:00.0000000Z,2022-08-26T00:00:00.6505830Z,21561.49,21878.05,20097.5,20240.72,48850.92315797,952594
2022-08-27 23:59:59.715513+00:00,2022-08-27T00:00:00.0000000Z,2022-08-28T00:00:00.0000000Z,2022-08-27T00:00:00.0020000Z,20241.9,20389.14,19766.0,20036.69,26531.85943839,707601
2022-08-28 23:59:59.825326+00:00,2022-08-28T00:00:00.0000000Z,2022-08-29T00:00:00.0000000Z,2022-08-28T00:00:00.8176710Z,20035.3,20164.26,19513.74,19554.03,20393.12041342,594517
2022-08-29 23:59:59.979876+00:00,2022-08-29T00:00:00.0000000Z,2022-08-30T00:00:00.0000000Z,2022-08-29T00:00:00.0020000Z,19539.8,20434.105,19539.7,20286.97,42793.9571438,925454
2022-08-30 23:59:59.598733+00:00,2022-08-30T00:00:00.0000000Z,2022-08-31T00:00:00.0000000Z,2022-08-30T00:00:00.0020000Z,20290.6,20582.64,19540.14,19813.17,60649.09261057,1158880
2022-08-31 23:59:59.804390+00:00,2022-08-31T00:00:00.0000000Z,2022-09-01T00:00:00.0000000Z,2022-08-31T00:00:00.0020000Z,19814.2,20500.0,19799.97,20048.26,48270.90003982,1090024
2022-09-01 23:59:59.991868+00:00,2022-09-01T00:00:00.0000000Z,2022-09-02T00:00:00.0000000Z,2022-09-01T00:00:00.0020000Z,20049.4,20208.5,19558.5,20133.65,34639.35778644,691367
2022-09-02 23:59:59.815513+00:00,2022-09-02T00:00:00.0000000Z,2022-09-03T00:00:00.0000000Z,2022-09-02T00:00:00.0861720Z,20132.67,20444.554,19755.0,19953.74,30981.0141372,648842
2022-09-03 23:59:59.902000+00:00,2022-09-03T00:00:00.0000000Z,2022-09-04T00:00:00.0000000Z,2022-09-03T00:00:00.1735420Z,19953.4,20053.9,19653.999,19833.37,13596.91829459,448517
2022-09-04 23:59:59.983462+00:00,2022-09-04T00:00:00.0000000Z,2022-09-05T00:00:00.0000000Z,2022-09-04T00:00:00.3410000Z,19833.37,20030.5,19586.0,20004.73,15173.52228769,439842
2022-09-05 23:59:59.791551+00:00,2022-09-05T00:00:00.0000000Z,2022-09-06T00:00:00.0000000Z,2022-09-05T00:00:00.0450080Z,20003.85,20061.5,19633.11,19794.58,20593.26719493,487713
